기준년월,행정동코드,광역시도명,시군구명,행정동명,배달앱요일별이용금액,배달앱전체이용금액,외식 업종 카드 결제금액,전체 매출액,성공등급,시장성,성장성,개폐업안정성,경쟁도,유동인구 시장성,거주인구 시장성
202309,4128560000,경기도,고양시일산동구,고봉동,3571029,25104161,89973190,115077351,A,8,44.4,25,100,12.7,7.7
202309,4128159000,경기도,고양시덕양구,고양동,2497490,15122513,119204456,134326969,A,16.3,36.8,25,84.6,7.3,6.2
202309,4128160000,경기도,고양시덕양구,관산동,2298448,15933948,140078023,156011971,A,4.6,41.1,10,99.6,4.9,7.6
202309,4128161000,경기도,고양시덕양구,능곡동,2348062,12690430,85381866,98072296,B,11.1,65.6,5,55.2,7.3,3.2
202309,4128167000,경기도,고양시덕양구,대덕동,2142894,10216042,36360440,46576482,C,6.6,34.2,5,50.5,6.7,0.5
202309,4128757000,경기도,고양시일산서구,대화동,7452093,43041325,154827590,197868915,A,11.4,39.3,35,54.6,8.2,12.1
202309,4128556000,경기도,고양시일산동구,마두1동,5298148,29695505,115792130,145487635,C,7,42.5,10,35,7.2,8
202309,4128557000,경기도,고양시일산동구,마두2동,3307223,23124089,70766125,93890214,D,10.2,48.9,10,15.9,3.9,5.4
202309,4128555100,경기도,고양시일산동구,백석1동,5454319,34440174,125545440,159985614,C,7.6,38.7,15,22,10.7,10.1
202309,4128555200,경기도,고양시일산동구,백석2동,3661182,26070868,83398000,109468868,C,10.1,38.4,15,33.2,8.1,7
202309,4128157500,경기도,고양시덕양구,삼송동,5943085,34638782,105931321,140570103,D,4.7,31.4,20,30.8,4.7,5.3
202309,4128154000,경기도,고양시덕양구,성사1동,3118018,19830717,93532300,113363017,D,6.6,41,15,23.1,4,4.5
202309,4128155000,경기도,고양시덕양구,성사2동,1267352,7470408,44796350,52266758,D,5.7,52.5,10,8,2,2.3
202309,4128759000,경기도,고양시일산서구,송산동,10483250,67087295,244753636,311840931,A,11.4,39,10,86.2,26.6,17.3
202309,4128758000,경기도,고양시일산서구,송포동,4677190,29063943,92140739,121204682,A,10,42,5,81.3,23.5,7.2
202309,4128551000,경기도,고양시일산동구,식사동,11392759,65498604,201804309,267302913,B,10.7,33.7,30,47.3,11.3,12.5
202309,4128152000,경기도,고양시덕양구,원신동,4103928,24917824,108963090,133880914,A,11.2,36.5,25,85.3,7.3,4.9
202309,4128751000,경기도,고양시일산서구,일산1동,5901287,30929186,111552870,142482056,D,5.6,26.4,15,29,4.8,9.1
202309,4128752000,경기도,고양시일산서구,일산2동,3656186,18944442,76222338,95166780,D,5.7,38.2,15,23.7,6.8,6.2
202309,4128753000,경기도,고양시일산서구,일산3동,7816785,52055895,136938126,188994021,D,8.3,39.7,5,25.6,6.6,11.8
202309,4128558000,경기도,고양시일산동구,장항1동,2962704,16607944,54123140,70731084,A,6.2,36.7,20,97.7,7.3,3.8
202309,4128559000,경기도,고양시일산동구,장항2동,7626859,42115340,137805541,179920881,B,10.1,34.7,45,36.6,15.2,9.1
202309,4128553000,경기도,고양시일산동구,정발산동,4800161,26598591,104061757,130660348,C,8.3,29.1,20,28.8,5.7,7.8
202309,4128151000,경기도,고양시덕양구,주교동,667580,5379374,44614800,49994174,D,3.9,44.5,15,20.8,3,3
202309,4128755000,경기도,고양시일산서구,주엽1동,7545273,41273003,123407620,164680623,D,9,33.8,15,21.1,4.5,9.4
202309,4128756000,경기도,고양시일산서구,주엽2동,6371375,37082849,123270930,160353779,D,13,37.8,5,21.6,4.9,9.7
202309,4128552000,경기도,고양시일산동구,중산동,9604608,51270702,214635685,265906387,C,9.8,36.2,5,33.9,8.2,15.6
202309,4128158000,경기도,고양시덕양구,창릉동,5139660,31062402,94824640,125887042,B,18.5,34.3,5,78.7,7.6,4.9
202309,4128754000,경기도,고양시일산서구,탄현동,10650737,64348099,197274130,261622229,B,11.6,42.7,10,42.2,14.3,17.2
202309,4128554000,경기도,고양시일산동구,풍산동,7375432,42875309,164712090,207587399,B,18.7,40.8,15,54.4,9.7,12.9
202309,4128164000,경기도,고양시덕양구,행신1동,4261898,23143759,100308500,123452259,D,3.1,30.1,15,15.2,1.3,4.5
202309,4128165000,경기도,고양시덕양구,행신2동,6083284,33419559,145428919,178848478,C,9.1,41.6,20,18.4,4.7,6.6
202309,4128165500,경기도,고양시덕양구,행신3동,8660888,54451366,223959300,278410666,D,9.2,36.5,20,11.3,4.2,9.3
202309,4128163000,경기도,고양시덕양구,행주동,2817002,14991928,69263400,84255328,A,10,53.5,15,66.3,7.3,3.9
202309,4128166000,경기도,고양시덕양구,화전동,8228391,45059564,111455445,156515009,C,5.9,22.2,10,53.3,3.4,5.8
202309,4128162100,경기도,고양시덕양구,화정1동,6586886,38671871,172427980,211099851,D,8.8,34.5,10,19.5,5.5,7.7
202309,4128162200,경기도,고양시덕양구,화정2동,7012711,43799626,160110355,203909981,D,10.1,34.4,10,14.2,3.1,6.8
202309,4128156000,경기도,고양시덕양구,효자동,4012486,25583363,93887850,119471213,B,12.2,19.6,10,87.7,4.2,3.2
202309,4128153000,경기도,고양시덕양구,흥도동,11572312,68246476,236725006,304971482,B,15,24.8,10,51.1,11.6,10
